Year;effectif_actifs;effectif_retraites;Total Employees;effectif_ayants_cause;effectif_nouveaux_ayants_cause;effectif_conjoints_actifs;effectif_conjoints_retraites;Total Spouses;effectif_enfants_actifs;effectif_enfants_retraites;effectif_enfants_ayant_cause;Total Children
0;2043,0;2040,0;4083,0;425,0;0,0;1505,0;1767,0;3272,0;2810,0;995,0;63,0;3868,0
1;2039,3865604126813;2010,461945261815;4049,848505674496;410,15173985933274;29,95592233008486;1722,5660343509487;1751,6566725422842;3474,222706893233;2878,3109620552145;1003,6126806885159;62,92950583951314;3944,8531485832436
2;2022,4316549440164;2060,4020029307167;4082,833657874733;396,1761249936877;59,3519144514449;1638,2168448185328;1817,1917843005692;3455,408629119102;2746,686652438677;1201,0602096532177;62,853311838012246;4010,6001739299068
3;2007,1377776907914;2103,729745160785;4110,867522851577;382,03792983861564;90,68776435795074;1566,5323549212458;1876,4784055025534;3443,010760423799;2627,626236531466;1374,3330041613226;62,771711056878786;4064,7309517496674
4;1993,4996446839743;2135,4490924788465;4128,948737162821;367,7173103182888;122,4413281612207;1515,9793516073503;1925,4862947968127;3441,4656464041627;2522,1745032243844;1524,4677569842968;62,68381036511364;4109,326070573795
5;1980,9801307699945;2156,5088228420695;4137,4889536120645;353,2326825863427;154,59685525736253;1481,1145527740757;1963,3167805786577;3444,4313333527334;2428,112794042973;1654,4960051270607;62,58909001969976;4145,197889189733
6;1980,980130770013;2166,8719940307346;4147,852124800747;338,62525614802746;187,07737318810132;1458,6122582060625;1990,6487771400937;3449,261035346156;2340,262892245749;1772,438912487511;62,487097743054775;4175,188902476315
7;1980,980130770017;2159,682220983713;4140,66235175373;323,89384731613046;219,80792379351382;1449,4302397305607;2000,8167687121427;3450,247008442703;2272,57525893893;1865,3157259408679;62,37749628255255;4200,26848116235
8;1980,9801307700195;2157,3457703917165;4138,325901161736;309,08862222440484;252,7442242438469;1431,06562215191;2016,6281612007806;3447,693783352691;2195,2607870209677;1964,0824847366564;62,25945729286245;4221,602729050487
9;1980,9801307700122;2150,909533432435;4131,889664202447;294,24680019576317;285,68659102684603;1445,3387432734755;2032,8335353604023;3478,172278633878;2130,9949591351406;2045,7843458146403;62,132602206705386;4238,911907156486
10;1980,9801307700086;2144,2917820834923;4125,271912853501;279,4187031849637;318,2044824576629;1485,7691788033467;2046,2061489415362;3531,9753277448826;2045,2236486846605;2149,257584918978;61,99765214144428;4256,478885745083
11;1980,9801307700093;2115,237502227105;4096,217632997114;264,656946062391;350,2503611641176;1537,9470252696663;2037,0324702414705;3574,9794955111365;2003,6477920343093;2212,7753491420453;61,85406354919218;4278,277204725547
12;1980,9801307700059;2095,5539998189615;4076,5341305889674;250,00749002217788;382,00674077711693;1552,6484866053283;2037,1505108551423;3589,7989974604707;1952,8487134025806;2288,08475566075;61,70054944862545;4302,634018511956
13;1980,98013077001;2066,7381462010835;4047,7182769710935;235,5106030333791;413,4069134845708;1580,6051015261476;2029,4124443873536;3610,017545913501;1897,0098293934352;2368,254331987048;61,53801790573107;4326,802179286214
14;1980,98013077001;2039,5479030389936;4020,5280338090033;221,2296057606674;444,00624213397566;1595,522281109896;2024,3747091048615;3619,8969902147574;1855,450908889626;2434,0943322280505;61,366624962258484;4350,911866079935
15;1980,9801307700022;2004,6019650304886;3985,5820958004906;207,21757591810888;473,75986190070444;1602,4580558127655;2011,216658483918;3613,6747142966833;1813,4168782038375;2497,6721736282143;61,185835739503155;4372,274887571555
16;1980,9801307700072;1967,9410924793588;3948,921223249366;193,4956364251348;502,5452963515649;1603,8913842895395;1996,4273688732533;3600,3187531627927;1742,5560807761685;2585,849077425754;60,995272607791456;4389,400430809714
17;1980,980130769993;1942,7236238499672;3923,70375461996;180,11320704803333;530,0655199475046;1603,9627211207892;1993,4850098636568;3597,447730984446;1673,4140562343046;2670,1031972237392;60,79521710911931;4404,312470567163
18;1980,9801307700013;1921,0486685484273;3902,0287993184284;167,13096962259627;556,0304496625004;1592,643094849376;1994,0820533899075;3586,7251482392835;1594,1189264431407;2763,213404298962;60,58574803351163;4417,918078775614
19;1980,9801307699959;1902,0957583899444;3883,0758891599403;154,56914074104816;580,360642793749;1577,2704482512156;1997,6172297345163;3574,887677985732;1514,0383160176734;2856,1329711729363;60,36630115346778;4430,537588344077
20;1980,9801307700077;1875,93288946499;3856,913020234998;142,46243801287665;602,8913675539129;1574,1954014447815;1992,1898844359937;3566,385285880775;1422,4618431971426;2960,4826433629823;60,13621010516133;4443,080696665286
21;1980,9801307700081;1853,819186054389;3834,7993168243975;130,83370435378143;623,3443240777921;1559,0661790389267;1991,4418939002082;3550,5080729391348;1327,469897654769;3069,221962863897;59,894582279876396;4456,586442798542
22;1980,980130770005;1829,4571868393077;3810,4373176093127;119,71942466591459;641,6993882419611;1546,0439574752245;1987,4205775598775;3533,464535035102;1237,2919904988337;3172,824501966478;59,63991866362844;4469,756411128939
23;1980,9801307700047;1813,9047598421753;3794,8848906121802;109,14939255254555;657,7429537762453;1521,0754256314465;1990,8200269888212;3511,895452620268;1148,939632720543;3274,1889222310374;59,36925086038045;4482,497805811961
24;1980,9801307700018;1784,5704951271186;3765,5506258971204;99,13452434061556;671,2734684261368;1516,6231921685226;1978,9877616570425;3495,610953825565;1067,5400402058767;3368,8895364838486;59,08279366721527;4495,51237035694
25;1980,9801307700045;1752,9772382269828;3733,9573689969875;89,70698433770772;682,1395924992347;1521,2893384968552;1963,3544741601747;3484,64381265703;992,1279815468592;3457,8110558241956;58,7813165710923;4508,720353942147
26;1980,980130770006;1713,8031646123025;3694,7832953823086;80,89366514422711;690,2986610421011;1524,4656993687213;1938,2218650161358;3462,687564384857;937,157895097057;3527,6563124970453;58,46194857742687;4523,276156171529
27;1980,9801307700054;1680,6529888284613;3661,6331195984667;72,68654591188732;695,8633161570046;1535,2279556929566;1917,4760651605081;3452,7040208534645;881,4622370875537;3598,426580249293;58,12451853513726;4538,013335871984
28;1980,9801307700016;1644,9998572087234;3625,979987978725;65,07142061682558;698,5763658200441;1548,6797114704632;1891,8960057946565;3440,5757172651197;828,8053185480172;3667,6361293876466;57,770787589495214;4554,212235525159
29;1980,980130770004;1604,241922746103;3585,222053516107;58,054631496567715;698,7383768834649;1556,7536788531108;1859,37383153453;3416,1275103876405;801,629582346444;3711,783015334061;57,40098920536149;4570,813586885867
30;1980,9801307700072;1581,6355910343677;3562,615721804375;51,626957039640715;696,5305539382229;1563,4329920998962;1842,7982747198073;3406,2312668197037;738,7047341360787;3789,873782757343;57,0156433118206;4585,594160205243
31;1980,980130770004;1567,8555617318063;3548,8356925018106;45,76816691178782;691,8896569227732;1559,0723815061558;1833,8108461725765;3392,8832276787325;663,0193582809204;3881,445896484968;56,616704112614286;4601,081958878503
32;1980,9801307700036;1538,6850408406822;3519,665171610686;40,45182275403456;685,1604706244606;1554,9419485258309;1807,2998307127586;3362,2417792385895;615,7464754096786;3944,306202169789;56,20681179195853;4616,259489371427
33;1980,9801307700043;1508,96574644849;3489,9458772184944;35,66007560368503;676,7715664007203;1558,3096551306498;1778,5986122081847;3336,908267338835;584,0507909586869;3989,1237678493535;55,7863001924348;4628,9608590004755
34;1980,9801307700027;1481,8596755157264;3462,839806285729;31,37166994218317;666,798567518073;1558,9870680809454;1751,055891251149;3310,042959332094;547,6431816310727;4038,345329530893;55,35590466117934;4641,344415823145
35;1980,980130770004;1473,8979588348298;3454,878089604834;27,56343657256595;655,7158854284761;1538,7236928437947;1742,001175881029;3280,724868724824;528,0002069042891;4069,000842962414;54,91644692194085;4651,917496788644
36;1980,9801307700047;1489,2263223391815;3470,2064531091864;24,194447944939316;643,8445874080113;1497,8953660581926;1755,043479921233;3252,9388459794254;502,7038532435114;4103,110560571449;54,468953797402484;4660,283367612364
37;1980,9801307700025;1496,6743481507413;3477,6544789207437;21,24050413867118;631,546507723505;1460,6676293415574;1759,1654533925728;3219,83308273413;480,02633382823564;4134,096478483308;54,01317359191007;4668,135985903454
38;1980,9801307700059;1487,1903163070588;3468,1704470770646;18,66350168121115;619,2051340621416;1444,7567205158766;1745,374763418615;3190,1314839344914;470,2366938347125;4150,022177396908;53,54718187116989;4673,80605310279
39;1980,9801307700054;1481,3095538890627;3462,2896846590684;16,42418300432289;606,9240943914639;1437,9841436520933;1734,6723505124512;3172,6564941645447;463,211056274336;4162,247057060541;53,07178948008269;4678,529902814959
40;1980,980130770001;1473,854658162971;3454,834788932972;14,486247242783877;594,8320217968728;1421,7806001798224;1721,8893747097347;3143,669974889557;460,16755581712624;4170,6810911855855;52,5844437803662;4683,433090783078
41;1980,9801307700036;1450,4250565041978;3431,405187274201;12,813044344680671;583,2647405431711;1422,4338180906664;1692,617717355608;3115,051535446274;462,48348177565674;4172,040574615841;52,08149944893675;4686,605555840434
42;1980,9801307700031;1430,0577450402716;3411,0378758102747;11,375041461524113;572,172482595042;1433,004610246012;1666,1658073159895;3099,1704175620016;465,38002851891275;4171,263726869677;51,56403132710635;4688,207786715696
43;1980,980130770002;1413,4467032994328;3394,426834069435;10,143876860249469;561,3385339104243;1448,6204882262984;1643,3478637356836;3091,968351961982;466,94988606217885;4171,6472998019735;51,03007273515984;4689,627258599312
44;1980,9801307700047;1396,9884351823227;3377,9685659523275;9,087289630848522;550,7610741279493;1484,2264743051744;1620,5431830930531;3104,7696573982275;469,49816541825584;4170,472474784426;50,47555933873347;4690,446199541415
45;1980,980130770005;1375,6530644407753;3356,6331952107803;8,175276981826794;540,2078220433256;1512,184786419765;1592,7062713007356;3104,8910577205006;477,13181392988076;4166,386042250471;49,899346420113474;4693,417202600465
46;1980,980130770005;1363,8263343336255;3344,80646510363;7,389477809808235;529,8984618077594;1526,735021471051;1574,3383887520554;3101,0734102231063;483,42029580902545;4164,022951613638;49,30040439396547;4696,743651816629
47;1980,9801307700038;1346,5245221693197;3327,5046529393235;6,709337382174432;519,6260241647428;1540,3952265423143;1550,3477314036418;3090,742957945956;492,0468233091102;4158,042254106038;48,67724185590004;4698,766319271049
48;1980,9801307700013;1329,3310796536289;3310,31121042363;6,116444867674196;509,34955546031347;1556,9653655775512;1526,2833965454229;3083,248762122974;500,6497647695134;4149,640962319568;48,0286022850007;4698,3193293740815
49;1980,9801307700031;1316,9408013048765;3297,9209320748796;5,594314129285968;498,8683128068422;1555,2408244443495;1506,8844239841303;3062,1252484284796;506,07859674337595;4140,939470648788;47,35160495543955;4694,369672347603
50;1980,9801307700047;1312,0358283738358;3293,0159591438405;5,131834191777896;488,34786065201814;1561,2000245615907;1494,8156029437334;3056,015627505324;507,5325119532425;4131,563033242712;46,64157252214536;4685,737117718099
51;1980,9801307700084;1316,286193049511;3297,266323819519;4,719439917481926;477,53866471949254;1558,568786667284;1491,7736828191714;3050,3424694864552;505,57673654880875;4123,257074112002;45,89516849996305;4674,728979160774
52;1980,9801307700066;1307,066824534682;3288,0469553046887;4,352335109299256;466,66968633582667;1567,796079146302;1475,0162128040547;3042,8122919503567;507,6550582566641;4108,56979615969;45,10473713369888;4661,329591550053
53;1980,9801307700045;1314,1562375092744;3295,136368279279;4,021730368994403;455,8895296719799;1549,0734485564924;1474,631311710779;3023,7047602672715;504,6373955118334;4095,3616323057445;44,26469106079527;4644,263718878374
54;1980,9801307700072;1317,0114043336719;3297,991535103679;3,7212472933385006;445,3738481538356;1544,493555390156;1470,0214499631657;3014,5150053533216;502,30488539003903;4077,991578654743;43,36879854876221;4623,665262593544
55;1980,9801307700027;1313,818311725988;3294,7984424959905;3,4475237467113033;435,13982112044715;1537,4498671045963;1459,4623547750264;2996,912221879623;503,2007788217377;4053,2154707369255;42,40512686101167;4598,821376419675
56;1980,9801307700036;1317,0391831298882;3298,019313899892;3,1955218161243684;425,46940833397935;1533,5623147462084;1455,7512517365478;2989,313566482756;498,9478022549617;4028,419008605852;41,36512766786771;4568,731938528681
57;1980,9801307700022;1322,5739411889194;3303,5540719589217;2,963090457355299;416,29669655445844;1521,9904528319248;1454,8287667491522;2976,819219581077;493,93753777247105;4000,0608674329233;40,24168581211918;4534,240091017514
58;1980,9801307700052;1310,8344327999084;3291,814563569914;2,7473357628830737;407,80049596056307;1532,26741254309;1436,996211641655;2969,263624184745;495,81575672597154;3960,254240776233;39,02692960056135;4495,096927102766
59;1980,9801307700045;1307,5320403124879;3288,5121710824924;2,545141147247803;399,91655719505104;1529,5838313798229;1428,2188133625139;2957,8026447423367;494,9352838079251;3918,482664784378;37,71417326180546;4451,132121854109
60;1980,9801307700018;1297,5183804238836;3278,4985111938854;2,355371897143749;392,7066530366371;1536,1563563912923;1413,2186352746091;2949,3749916659017;496,60780394965354;3869,1513153196415;36,29639904510831;4402,055518314403
61;1980,9801307700038;1289,2133208533598;3270,1934516233637;2,177198783334713;386,09033167332717;1544,6823004710504;1400,4569335728752;2945,1392340439256;498,8147340069691;3813,664748951205;34,77342604029141;4347,2529089984655
