id;rang;sex;age;type;familyStatus;age0;entrance;year_0;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15;year_16;year_17;year_18;year_19;year_20;year_21;year_22;year_23;year_24;year_25;year_26;year_27;year_28;year_29;year_30;year_31;year_32;year_33;year_34;year_35;year_36;year_37;year_38;year_39;year_40;year_41;year_42;year_43;year_44;year_45;year_46;year_47;year_48;year_49;year_50;year_51;year_52;year_53;year_54;year_55;year_56;year_57;year_58;year_59
id301;1;female;131;widow;not married;72;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id302;1;female;130;widow;not married;71;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id303;1;female;127;widow;not married;68;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id304;1;female;135;widow;not married;76;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id305;1;female;136;widow;not married;77;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id306;1;female;123;widow;not married;64;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id307;1;female;130;widow;not married;71;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id308;1;female;125;widow;not married;66;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id309;1;female;132;widow;not married;73;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id310;1;female;132;widow;not married;73;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id311;1;female;122;widow;not married;63;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id312;1;female;129;widow;not married;70;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id313;1;female;126;widow;not married;67;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id314;1;female;131;widow;not married;72;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id315;1;female;135;widow;not married;76;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id316;1;male;124;widow;not married;65;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id317;1;male;130;widow;not married;71;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id318;1;male;130;widow;not married;71;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id319;1;male;122;widow;not married;63;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id320;1;male;123;widow;not married;64;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id321;1;male;130;widow;not married;71;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id322;1;male;128;widow;not married;69;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id323;1;male;122;widow;not married;63;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id324;1;male;130;widow;not married;71;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id325;1;male;132;widow;not married;73;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id1;1;female;93;active;married;34;0;0;0,0005478764468638985;0,0005777889897731647;0,0006177610767733467;0,00063737655124749;0,0006569043642315039;0,0007167039899243176;0,0008065519458637949;0,0008960823747060909;0,0009148628398514464;0,0009836445081326168;0,0010520465514487778;0,0011400038343073785;0,0012075245018869061;0,001304526960166148;0,0014306603561921743;0,001555868700981227;0,0016899363415734654;0,0018523769119398053;0,0019445549868712967;0,0020160445361734557;0,0021744546444316115;0,002360243081614932;0,0025532581581609952;0,002753212878424351;0,002969204373041686;0,0031629134967567744;0,0032679453128362703;0,0034547235900319645;0,0037494219586341206;0,004019229742390825;0,004318977288622086;0,00451988334821976;0,0047675165008747005;0,005094705405366908;0,00540809730209954;0,005732941391104453;0,00610887349942776;0,006377023787596933;0,006805453122851482;0,007314764516902671;0,007908170085457902;0,008413966326207077;0,008980842961171869;0,009608098284446389;0,010213114601829616;0,010797677847998855;0,011368996860928151;0,01189069346771503;0,01218082484863136;0,012490986103792748;0,012668888732746778;0,012727731119807704;0,012463244709333968;0,011983834887568693;0,011292466206719682;0,010213429955501513;0,008935436068783647;0,0075912237067736225;0,0061728758053153495
id2;1;female;89;active;married;30;0;0;0,0007226983846006981;0,0008137862059436602;0,0009047381850342258;0,000924400419233137;0,000994696403500404;0,0010647785811736838;0,0011549712103561057;0,0012246627380153067;0,0013244503651989848;0,001454184686137117;0,001583498330953536;0,001722382642270297;0,0018908106762694362;0,0019881671205796395;0,0020648498650169206;0,0022309093568154133;0,00242600927160938;0,0026300335668213983;0,0028425995648867484;0,003073339848210381;0,0032823729123288175;0,003400683438234178;0,0036057590613665716;0,003926023323517101;0,004223854873579026;0,00455720855142945;0,004789295143296277;0,005075279633746109;0,005452130787725408;0,0058232581372836476;0,006216345235966175;0,006676810920175445;0,007034178547065444;0,007586694441136503;0,008254517422043323;0,009052557315914839;0,009792294170598913;0,010650359463314638;0,01164406552295466;0,012694508190808517;0,013825946180462078;0,015066721445524343;0,01639969177053309;0,017600103249720223;0,019031989927099827;0,020498860954326497;0,022056923858889906;0,02332459381917327;0,024438355232187108;0,025355173334475;0,025545759704061994;0,02520540880421192;0,024456321612534637;0,023021223798251188;0,02115381629857673;0,019018619404909513;0,016570979946591683;0,013928686823562289;0,011237022289444695
id5;1;female;96;active;married;37;0;0;0,0005370414777935738;0,0005567085703101899;0,0005459484790672696;0,0005755640224811857;0,000615126150952522;0,0006343538381786589;0,0006534342277123381;0,0007124927243518152;0,0008012496906217235;0,0008895636235791835;0,0009076106487955605;0,000975161515625394;0,0010421710815759874;0,0011283803471546364;0,0011940796788820326;0,001288554407790742;0,0014114705485431854;0,0015332803499076447;0,001663500735481417;0,0018210634495548614;0,0019090415313348255;0,0019761597306292597;0,0021277986104155534;0,0023053580487168612;0,002489015466360271;0,002678319641069508;0,0028819938925483757;0,003062122696015232;0,003155132118675497;0,0033252483070848305;0,003596065635723152;0,0038385536065680273;0,0041050923570577005;0,004271658474131752;0,00447597073919009;0,004747048663464212;0,004995856752254084;0,0052430332677311405;0,00552199706057866;0,00568891592504689;0,005978746887614531;0,006312131321119124;0,006681532476359497;0,006937178557317484;0,007195158596643349;0,0074444326271130325;0,007619623589008723;0,007723936476946576;0,0077559729475981404;0,007698495128306072;0,0074475724209913715;0,0071615412413288965;0,006757166576158396;0,006264554892096415;0,005609561444195271;0,004888846689119336;0,004150927750161609;0,0033567187026499416;0,0026181558416198364
id6;1;female;80;active;married;21;0;0;0,0004551522299343103;0,0004448394968503227;0,00045474213306591696;0,0004949178026765936;0,0005047621754419511;0,0005347602749814099;0,0005546301594285669;0,0005442473873287946;0,000574150667966837;0,0006140609265705315;0,0006337876610996427;0,0006534752802719069;0,0007132798960198477;0,0008030403216674768;0,0008925712773820794;0,0009117811157834143;0,0009809347113754752;0,001049872558128184;0,0011385308932405159;0,0012069415018471409;0,0013049315118421475;0,0014323052440456685;0,0015590866141060285;0,0016951192780150345;0,0018600208159292731;0,001954943751892243;0,002029586092162336;0,0021919841448494216;0,0023825282566119353;0,002581289153194008;0,0027880209812671955;0,0030121405069745044;0,0032146187959935326;0,003328304713245778;0,00352675278937024;0,003837016515755588;0,004124014182204846;0,0044443651651937055;0,004665658247990175;0,004938838158682664;0,005299293850700383;0,005652227721056003;0,006024448124583099;0,006459706816542967;0,006793574817585108;0,007312437055167316;0,00793730948681826;0,00867831551500786;0,009355336601694;0,010135734968397295;0,011032766932390276;0,011966305914158688;0,012955530418859974;0,014021801117534725;0,015141088484016884;0,016104269021680395;0,017233616714559755;0,018337102091298844;0,019440999612830776
id7;1;female;103;active;married;44;0;0;0,00046444174947887567;0,00045346287490890164;0,0004424773256169978;0,00045156683672437683;0,0004905665066311794;0,0004993109137587483;0,0005278103075129216;0,00054608715612026;0,0005344124417940151;0,0005621283900673154;0,0005993811601066215;0,0006166216538493573;0,000633478559668847;0,000688747238407004;0,0007721401706709238;0,0008544113324886707;0,0008686100303188582;0,0009296106264727578;0,0009893204982828082;0,0010663199856169809;0,0011228486224027655;0,0012053719635565685;0,0013127192211433597;0,0014165575565785059;0,0015252012745983316;0,0016556147023276545;0,0017191265582970235;0,0017603344139287592;0,0018718352257915262;0,0019990625167476627;0,002122921993344338;0,002241131317868261;0,0023595256573393343;0,002444429579769324;0,0024453354646796466;0,002489544129259817;0,0025867313129249773;0,002636317717491227;0,0026713453021232057;0,0026135056039503194;0,0025532672818937984;0,002500097386017366;0,002404768590933618;0,0022809860822235926;0,0021428798289406087;0,001940229849402374;0,0017641256559575494;0,001584752517471185;0,0014035459163179676;0,001200214280807573;0,0010066629901193075;0,0008306853035126427;0,0006629725912759282;0,0005179150323233375;0,0004045281943589121;0,0003035613451357544;0,00021598513522499854;0,0001489314006646505;9,838227175954944e-05
id8;1;female;116;active;married;57;0;0;0,0006378606501498509;0,0006547918373488102;0,0007114085526102606;0,0007969978956390151;0,0008811477780715985;0,0008948965643335763;0,0009567368757149942;0,001016971726998585;0,0010948090565805764;0,00115127337885688;0,0012336433112236668;0,0013405322952209757;0,0014430614247672553;0,0015496103547036218;0,0016767547611653117;0,001734649291606585;0,0017687687747409099;0,0018716244606838176;0,001987427454639294;0,0020972522894942046;0,002197805317432506;0,00229332066869251;0,002350582985950023;0,002322789117922144;0,0023321670556676944;0,002383884989571467;0,002386106770441876;0,00237160440086865;0,002270040463178575;0,0021648431501677867;0,0020649750198452888;0,0019274207574247694;0,0017665377414393256;0,0015978552524773646;0,001388209529125303;0,0012076991674783199;0,0010373451451742722;0,0008757086547297295;0,0007133813886542366;0,0005666234607517986;0,0004431631547044692;0,0003451883983695045;0,0002582316548559868;0,00018578185270524172;0,00012831837670748447;8,397833147221769e-05;5,319821404956928e-05;3,241126662368943e-05;1,874662305989295e-05;1,0420414615659837e-05;5,292608371906533e-06;2,458969666434303e-06;8,6842231070442e-07;0,0;0,0;0,0;0,0;0,0;0,0
id11;1;male;122;active;married;63;0;0;0,0016045212908691745;0,001733784374706256;0,0018900390336091242;0,0019721397039548375;0,0020307895839319855;0,002173196747003198;0,002338141728827908;0,002504434745376216;0,0026702819874665235;0,002843070184002104;0,0029841546093665027;0,003031184270494893;0,0031421757293247574;0,003334805561216022;0,0034832967707763424;0,0036320793518318114;0,003668783613939501;0,00371433180427827;0,003785168806971395;0,0038024326535258377;0,003784296971496287;0,0037531423279102485;0,0036101532195023187;0,003513316467122457;0,003404003043739781;0,0032725656699143734;0,0030501818743038324;0,00280512648202212;0,002541220368159619;0,0022468947055549206;0,001944012383995493;0,001642889458558918;0,0013583103263023965;0,0010750764939569132;0,0008410533358092713;0,0006557670455719853;0,0004919473251924336;0,0003494350997361908;0,00023705435609219948;0,0001535904956028515;9,318247295863373e-05;5,369462739954116e-05;2,9077325495379832e-05;1,5014121317806389e-05;7,0161617925013285e-06;2,9809457625517237e-06;9,665283623074816e-07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
id12;1;female;88;active;married;29;0;0;0,00045509588195238117;0,0004447067057496499;0,0004545222180741641;0,0004945967522521366;0,0005043255981520181;0,0005341492317394498;0,0005538025655392995;0,0005432282336654246;0,0005728332992591056;0,0006123736475031523;0,0006317131110843927;0,0006509589173549398;0,0007100912235323731;0,0007989184487494969;0,0008873602499739668;0,0009057011477399384;0,0009734763479273067;0,0010408730122007962;0,0011276763759294646;0,0011941456169332493;0,0012895626774422513;0,001413626229709721;0,0015366290178383036;0,0016682034546243443;0,0018276314316469017;0,001917823113314146;0,0019875384899727495;0,0021423653331478967;0,002323688456609742;0,0025117718696124895;0,0027065317843317674;0,0029168577291223217;0,0031044394432496567;0,0032043275865655625;0,003383910493456371;0,0036681772914391995;0,003927424016953822;0,004214560573627663;0,004402606564829047;0,004633527762496928;0,004939509177569498;0,005229425433873952;0,005525885776289996;0,005866500246076506;0,006098289650097653;0,006476230104996926;0,006921167921212172;0,0074354416529078616;0,007853021973369139;0,008307518386849502;0,008793254088326334;0,009233017723658851;0,009626852574655757;0,009971724082769966;0,010242676018771239;0,01029207742290575;0,01032573596867675;0,010223104622267241;0,010005135994196213
id14;1;female;110;active;married;51;0;0;0,0005773690106190165;0,0006158741522633885;0,0006338413315769272;0,0006515773085272744;0,0007089504994383503;0,0007954042235633183;0,0008807869476944503;0,0008960389622111682;0,0009598036802067113;0,0010224735651069758;0,0011032125583883888;0,0011630875865591402;0,0012500671284836429;0,0013632568044729954;0,0014737668525221616;0,0015903210389235582;0,0017305006382640643;0,0018016713861200905;0,0018507509769392374;0,001975271803072728;0,0021184273481542823;0,0022607160705703424;0,0024002997359782318;0,0025431451315483383;0,002654108646910711;0,0026789305028193187;0,002756670462042635;0,002899633214357566;0,00299654637166366;0,00308644919243105;0,00307464084827019;0,0030622958337369255;0,0030648543810102235;0,003019994951502229;0,0029405450736516435;0,002846804591570912;0,0026675709444695835;0,0025191439216711914;0,002358428381557539;0,0021830337789406;0,0019523606383910106;0,0017179644269307672;0,0014881154435391895;0,0012541463127441093;0,0010336999134436214;0,0008272775919491946;0,0006482739768354231;0,0005007632516674182;0,00037515174195184735;0,0002694241674498448;0,00018603448642281337;0,00012154647635903435;7,575149122353535e-05;4,52664009938649e-05;2,5040822527722945e-05;1,3310361537525393e-05;6,442385220600828e-06;2,803794142580891e-06;9,358748208159347e-07
